tradeDate,market,price,currency,uom,month
28-Aug-2018,HH-NG,2.852,USD,MMBTU,Sep-2018
28-Aug-2018,HH-NG,2.845,USD,MMBTU,Oct-2018
28-Aug-2018,HH-NG,2.873,USD,MMBTU,Nov-2018
28-Aug-2018,HH-NG,2.966,USD,MMBTU,Dec-2018
28-Aug-2018,HH-NG,3.054,USD,MMBTU,Jan-2019
28-Aug-2018,HH-NG,3.02,USD,MMBTU,Feb-2019
28-Aug-2018,HH-NG,2.917,USD,MMBTU,Mar-2019
28-Aug-2018,HH-NG,2.632,USD,MMBTU,Apr-2019
28-Aug-2018,HH-NG,2.601,USD,MMBTU,May-2019
28-Aug-2018,HH-NG,2.632,USD,MMBTU,Jun-2019
28-Aug-2018,HH-NG,2.664,USD,MMBTU,Jul-2019
28-Aug-2018,HH-NG,2.668,USD,MMBTU,Aug-2019
28-Aug-2018,HH-NG,2.652,USD,MMBTU,Sep-2019
28-Aug-2018,HH-NG,2.668,USD,MMBTU,Oct-2019
28-Aug-2018,HH-NG,2.717,USD,MMBTU,Nov-2019
28-Aug-2018,HH-NG,2.839,USD,MMBTU,Dec-2019
28-Aug-2018,HH-NG,2.935,USD,MMBTU,Jan-2020
28-Aug-2018,HH-NG,2.895,USD,MMBTU,Feb-2020
28-Aug-2018,HH-NG,2.788,USD,MMBTU,Mar-2020
28-Aug-2018,HH-NG,2.503,USD,MMBTU,Apr-2020
28-Aug-2018,HH-NG,2.466,USD,MMBTU,May-2020
28-Aug-2018,HH-NG,2.491,USD,MMBTU,Jun-2020
28-Aug-2018,HH-NG,2.518,USD,MMBTU,Jul-2020
28-Aug-2018,HH-NG,2.527,USD,MMBTU,Aug-2020
28-Aug-2018,HH-NG,2.511,USD,MMBTU,Sep-2020
28-Aug-2018,HH-NG,2.528,USD,MMBTU,Oct-2020
28-Aug-2018,HH-NG,2.582,USD,MMBTU,Nov-2020
28-Aug-2018,HH-NG,2.707,USD,MMBTU,Dec-2020
28-Aug-2018,HH-NG,2.81,USD,MMBTU,Jan-2021
